"Story","Title","Result","Date","Stability","Duration (s)"
"Buy album","Buy album","SUCCESS","2021-03-15T21:21:55.965-05:00[America/Bogota]","0.0","5.37"
"Buy album","Buy album customer created","SUCCESS","2021-03-15T21:22:03.828-05:00[America/Bogota]","0.0","1.18"
"Buy album","Buy album without token","SUCCESS","2021-03-15T21:22:05.042-05:00[America/Bogota]","0.0","0.52"
"Buy album","Buy album other data validations","SUCCESS","2021-03-15T21:22:05.562-05:00[America/Bogota]","0.0","4.64"
"Buy album","Buy album others token validations","SUCCESS","2021-03-15T21:22:10.272-05:00[America/Bogota]","0.0","1.01"
"Invalidate sessions","Invalidate sessions","SUCCESS","2021-03-15T21:22:25.709-05:00[America/Bogota]","0.0","4.01"
"Invalidate sessions","Consult list purchased albums others validations","SUCCESS","2021-03-15T21:22:30.99-05:00[America/Bogota]","0.0","0.99"
"Consult list albums","Consult albums","SUCCESS","2021-03-15T21:22:42.983-05:00[America/Bogota]","0.0","5.55"
"Consult list albums","Consult albums others validations","SUCCESS","2021-03-15T21:22:49.137-05:00[America/Bogota]","0.0","1.03"
"Consult list albums","Consult albums without token","SUCCESS","2021-03-15T21:22:50.214-05:00[America/Bogota]","0.0","0.51"
"Consult list photos of the album","Consult photos","SUCCESS","2021-03-15T21:23:00.656-05:00[America/Bogota]","0.0","5.57"
"Consult list photos of the album","Consult photos others validations","SUCCESS","2021-03-15T21:23:06.842-05:00[America/Bogota]","0.0","1.01"
"Consult list photos of the album","Consult photos without token","SUCCESS","2021-03-15T21:23:07.888-05:00[America/Bogota]","0.0","0.55"
"Consult list purchased albums","Consult list purchased albums","SUCCESS","2021-03-15T21:23:15.499-05:00[America/Bogota]","0.0","4.23"
"Consult list purchased albums","Consult list purchased albums rol regular","SUCCESS","2021-03-15T21:23:19.734-05:00[America/Bogota]","0.0","1.14"
"Consult list purchased albums","Consult list purchased albums others validations","SUCCESS","2021-03-15T21:23:20.879-05:00[America/Bogota]","0.0","1.09"
"Consult list purchased albums","Consult list purchased albums without token","SUCCESS","2021-03-15T21:23:22.629-05:00[America/Bogota]","0.0","0.48"
"Consult list users","Consult users regular","SUCCESS","2021-03-15T21:23:58.574-05:00[America/Bogota]","0.0","1.41"
"Consult list users","Consult users with registered users","SUCCESS","2021-03-15T21:23:59.994-05:00[America/Bogota]","0.0","1.19"
"Consult list users","Consult users others validations","SUCCESS","2021-03-15T21:24:01.841-05:00[America/Bogota]","0.0","1.01"
"Consult list users","Consult users without token","SUCCESS","2021-03-15T21:24:02.899-05:00[America/Bogota]","0.0","1.3"
"Login to the application","Login to the application","SUCCESS","2021-03-15T21:36:04.733-05:00[America/Bogota]","0.0","4.01"
"Login to the application","Login to the application alternate cases","SUCCESS","2021-03-15T21:36:09.413-05:00[America/Bogota]","0.0","1.6"
"Login to the application","Login to the application mandatory fields","SUCCESS","2021-03-15T21:36:11.066-05:00[America/Bogota]","0.0","1.08"
"Register client","Register new client","SUCCESS","2021-03-15T21:44:12.417-05:00[America/Bogota]","0.0","4.41"
"Register client","Register new client mandatory fields","SUCCESS","2021-03-15T21:44:21.492-05:00[America/Bogota]","0.0","2.05"
